id,date,title,keywords,paper_url,code_url,code_repo,stars_badge,recommendation,section
1,2026.03,[**OneComp**] OneComp: One-Line Revolution for Generative AI Model Compression(@Fujitsu),OneComp,https://arxiv.org/pdf/2603.28845,https://github.com/FujitsuResearch/OneCompression,OneCompression,True,2,Trending LLM/VLM Topics
2,2025.12,"[**QEP**] QEP: Quantization Error Propagation, NeurIPS 2025(@Fujitsu)",QEP,https://openreview.net/pdf?id=a3l3K9khbL,https://github.com/FujitsuResearch/OneCompression,OneCompression,True,2,Trending LLM/VLM Topics
3,2024.04,[Open-Sora] Open-Sora: Democratizing Efficient Video Production for All(@hpcaitech),Open-Sora,https://github.com/hpcaitech/Open-Sora/blob/main/docs/zh_CN/README.md,https://github.com/hpcaitech/Open-Sora,Open-Sora,True,2,Trending LLM/VLM Topics
4,2024.04,[Open-Sora Plan] Open-Sora Plan: This project aim to reproduce Sora (Open AI T2V model)(@PKU),Open-Sora Plan,https://github.com/PKU-YuanGroup/Open-Sora-Plan/blob/main/docs/Report-v1.0.0.md,https://github.com/PKU-YuanGroup/Open-Sora-Plan,Open-Sora-Plan,True,2,Trending LLM/VLM Topics
5,2024.05,"[DeepSeek-V2] DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model(@DeepSeek-AI)",DeepSeek-V2,https://arxiv.org/pdf/2405.04434,https://github.com/deepseek-ai/DeepSeek-V2,DeepSeek-V2,True,2,Trending LLM/VLM Topics
6,2024.05,[YOCO] You Only Cache Once: Decoder-Decoder Architectures for Language Models(@Microsoft),YOCO,https://arxiv.org/pdf/2405.05254,https://github.com/microsoft/unilm/tree/master/YOCO,unilm-YOCO,True,2,Trending LLM/VLM Topics
7,2024.06,[**Mooncake**] Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving(@Moonshot AI),Mooncake,https://github.com/kvcache-ai/Mooncake/blob/main/Mooncake-v3.pdf,https://github.com/kvcache-ai/Mooncake,Mooncake,True,2,Trending LLM/VLM Topics
8,2024.07,[**FlashAttention-3**] FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision(@TriDao etc),FlashAttention-3,https://tridao.me/publications/flash3/flash3.pdf,https://github.com/Dao-AILab/flash-attention,flash-attention,True,2,Trending LLM/VLM Topics
9,2024.07,[**MInference 1.0**] MInference 1.0: Accelerating Pre-filling for Long-Context LLMs via Dynamic Sparse Attention(@Microsoft),MInference 1.0,https://arxiv.org/pdf/2407.02490,https://github.com/microsoft/MInference,MInference 1.0,True,2,Trending LLM/VLM Topics
10,2024.11,[**Star-Attention: 11x~ speedup**] Star Attention: Efficient LLM Inference over Long Sequences(@NVIDIA),Star-Attention: 11x~ speedup,https://arxiv.org/pdf/2411.17116,https://github.com/NVIDIA/Star-Attention,Star-Attention,True,2,Trending LLM/VLM Topics
