id,date,title,keywords,paper_url,code_url,code_repo,stars_badge,recommendation,section,problem,method,core_idea,system_component,hardware_target,benchmark_dataset,benchmark_metric,implementation_status,reproducibility_level,limitation,evidence_grade
1,2026.03,[**OneComp**] OneComp: One-Line Revolution for Generative AI Model Compression(@Fujitsu),OneComp,https://arxiv.org/pdf/2603.28845,https://github.com/FujitsuResearch/OneCompression,OneCompression,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,OneComp: One-Line Revolution for Generative AI Model Compression(@Fujitsu),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
2,2025.12,"[**QEP**] QEP: Quantization Error Propagation, NeurIPS 2025(@Fujitsu)",QEP,https://openreview.net/pdf?id=a3l3K9khbL,https://github.com/FujitsuResearch/OneCompression,OneCompression,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,"QEP: Quantization Error Propagation, NeurIPS 2025(@Fujitsu)",Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
3,2024.04,[Open-Sora] Open-Sora: Democratizing Efficient Video Production for All(@hpcaitech),Open-Sora,https://github.com/hpcaitech/Open-Sora/blob/main/docs/zh_CN/README.md,https://github.com/hpcaitech/Open-Sora,Open-Sora,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,Open-Sora: Democratizing Efficient Video Production for All(@hpcaitech),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
4,2024.04,[Open-Sora Plan] Open-Sora Plan: This project aim to reproduce Sora (Open AI T2V model)(@PKU),Open-Sora Plan,https://github.com/PKU-YuanGroup/Open-Sora-Plan/blob/main/docs/Report-v1.0.0.md,https://github.com/PKU-YuanGroup/Open-Sora-Plan,Open-Sora-Plan,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,Open-Sora Plan: This project aim to reproduce Sora (Open AI T2V model)(@PKU),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
5,2024.05,"[DeepSeek-V2] DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model(@DeepSeek-AI)",DeepSeek-V2,https://arxiv.org/pdf/2405.04434,https://github.com/deepseek-ai/DeepSeek-V2,DeepSeek-V2,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model(@DeepSeek-AI)",Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
6,2024.05,[YOCO] You Only Cache Once: Decoder-Decoder Architectures for Language Models(@Microsoft),YOCO,https://arxiv.org/pdf/2405.05254,https://github.com/microsoft/unilm/tree/master/YOCO,unilm-YOCO,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,You Only Cache Once: Decoder-Decoder Architectures for Language Models(@Microsoft),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
7,2024.06,[**Mooncake**] Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving(@Moonshot AI),Mooncake,https://github.com/kvcache-ai/Mooncake/blob/main/Mooncake-v3.pdf,https://github.com/kvcache-ai/Mooncake,Mooncake,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving(@Moonshot AI),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
8,2024.07,[**FlashAttention-3**] FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision(@TriDao etc),FlashAttention-3,https://tridao.me/publications/flash3/flash3.pdf,https://github.com/Dao-AILab/flash-attention,flash-attention,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision(@TriDao etc),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
9,2024.07,[**MInference 1.0**] MInference 1.0: Accelerating Pre-filling for Long-Context LLMs via Dynamic Sparse Attention(@Microsoft),MInference 1.0,https://arxiv.org/pdf/2407.02490,https://github.com/microsoft/MInference,MInference 1.0,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,MInference 1.0: Accelerating Pre-filling for Long-Context LLMs via Dynamic Sparse Attention(@Microsoft),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
10,2024.11,[**Star-Attention: 11x~ speedup**] Star Attention: Efficient LLM Inference over Long Sequences(@NVIDIA),Star-Attention: 11x~ speedup,https://arxiv.org/pdf/2411.17116,https://github.com/NVIDIA/Star-Attention,Star-Attention,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,Star Attention: Efficient LLM Inference over Long Sequences(@NVIDIA),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
11,2024.12,[**DeepSeek-V3**] DeepSeek-V3 Technical Report(@deepseek-ai),DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3/blob/main/DeepSeek_V3.pdf,https://github.com/deepseek-ai/DeepSeek-V3,DeepSeek-V3,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,DeepSeek-V3 Technical Report(@deepseek-ai),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
12,2025.01,[**MiniMax-Text-01**] MiniMax-01: Scaling Foundation Models with Lightning Attention,MiniMax-Text-01,https://filecdn.minimax.chat/_Arxiv_MiniMax_01_Report.pdf,https://github.com/MiniMax-AI/MiniMax-01,MiniMax-01,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,MiniMax-01: Scaling Foundation Models with Lightning Attention,Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
13,2025.01,[**DeepSeek-R1**] DeepSeek-R1 Technical Report(@deepseek-ai),DeepSeek-R1,https://arxiv.org/pdf/2501.12948v1,https://github.com/deepseek-ai/DeepSeek-R1,DeepSeek-R1,True,2,Trending LLM/VLM Topics,LLM inference efficiency,Multi-technique system,DeepSeek-R1 Technical Report(@deepseek-ai),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
14,2024.05,"[DeepSeek-V2] DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model(@DeepSeek-AI)",DeepSeek-V2,https://arxiv.org/pdf/2405.04434,https://github.com/deepseek-ai/DeepSeek-V2,DeepSeek-V2,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model(@DeepSeek-AI)",Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
15,2024.12,[**DeepSeek-V3**] DeepSeek-V3 Technical Report(@deepseek-ai),DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3/blob/main/DeepSeek_V3.pdf,https://github.com/deepseek-ai/DeepSeek-V3,DeepSeek-V3,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,DeepSeek-V3 Technical Report(@deepseek-ai),Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
16,2025.01,[**DeepSeek-R1**] DeepSeek-R1 Technical Report(@deepseek-ai),DeepSeek-R1,https://arxiv.org/pdf/2501.12948v1,https://github.com/deepseek-ai/DeepSeek-R1,DeepSeek-R1,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,DeepSeek-R1 Technical Report(@deepseek-ai),Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
17,2025.02,[**DeepSeek-NSA**] Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention(@deepseek-ai),DeepSeek-NSA,https://arxiv.org/pdf/2502.11089,,,False,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention(@deepseek-ai),Attention + KV cache,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
18,2025.02,[**FlashMLA**] DeepSeek FlashMLA(@deepseek-ai),FlashMLA,,https://github.com/deepseek-ai/FlashMLA,FlashMLA,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,DeepSeek FlashMLA(@deepseek-ai),Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,medium,No formal paper/documentation,unverified_claim
19,2025.02,[**DualPipe**] DeepSeek DualPipe(@deepseek-ai),DualPipe,,https://github.com/deepseek-ai/DualPipe,DualPipe,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,DeepSeek DualPipe(@deepseek-ai),Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,medium,No formal paper/documentation,unverified_claim
20,2025.02,[**DeepEP**] DeepSeek DeepEP(@deepseek-ai),DeepEP,,https://github.com/deepseek-ai/DeepEP,DeepEP,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,DeepSeek DeepEP(@deepseek-ai),Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,medium,No formal paper/documentation,unverified_claim
21,2025.02,[**DeepGEMM**] DeepSeek DeepGEMM(@deepseek-ai),DeepGEMM,,https://github.com/deepseek-ai/DeepGEMM,DeepGEMM,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,DeepSeek DeepGEMM(@deepseek-ai),Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,medium,No formal paper/documentation,unverified_claim
